track_name,artist_name,track_popularity
The Fate of Ophelia,Taylor Swift,1.0
Golden,HUNTR/X,0.99
Opalite,Taylor Swift,0.97
Elizabeth Taylor,Taylor Swift,0.9500000000000001
Man I Need,Olivia Dean,0.9500000000000001
BIRDS OF A FEATHER,Billie Eilish,0.9400000000000001
Father Figure,Taylor Swift,0.9400000000000001
Soda Pop,Saja Boys,0.9400000000000001
How Itâ€™s Done,HUNTR/X,0.93
Your Idol,Saja Boys,0.93
Wood,Taylor Swift,0.93
CANCELLED!,Taylor Swift,0.93
Wi$h Li$t,Taylor Swift,0.93
Actually Romantic,Taylor Swift,0.93
The Life of a Showgirl (feat. Sabrina Carpenter),Taylor Swift,0.93
Gabriela,KATSEYE,0.92
Eldest Daughter,Taylor Swift,0.92
No Broke Boys,Disco Lines,0.92
WHERE IS MY HUSBAND!,RAYE,0.92
Tears,Sabrina Carpenter,0.92
